n_samples,trial,mode,region,rel_err,neg_frac,rel_los,rel_trv,rel_R,rel_z,rel_phi
500,0,LOS+rho,gc15,0.23437322676181793,0.05859375,0.12435456365346909,0.17750203609466553,0.13893704116344452,0.11566553264856339,0.09489666670560837
500,0,LOS+Sun+rho,gc15,0.23744656145572662,0.046875,0.12375684827566147,0.1828506588935852,0.1447291076183319,0.11802476644515991,0.09194372594356537
1000,0,3D,sun4,0.07952772080898285,0.01953125,0.026958011090755463,0.06992895901203156,0.023519190028309822,0.0734022930264473,0.004687263164669275
1000,0,LOS,sun4,0.09486901760101318,0.0,0.02356734871864319,0.08817869424819946,0.02885829471051693,0.08473830670118332,0.009391623549163342
1000,0,LOS+Sun,sun4,0.10091351717710495,0.0,0.02779708057641983,0.09259521216154099,0.031048888340592384,0.09005019813776016,0.010651825927197933
1000,0,LOS+rho,sun4,0.09320980310440063,0.0,0.02135607600212097,0.08692798018455505,0.01583627425134182,0.08900727331638336,0.009260866791009903
1000,0,LOS+Sun+rho,sun4,0.0938502624630928,0.0,0.021155087277293205,0.0876074731349945,0.017662502825260162,0.08735918998718262,0.012754982337355614
1000,0,3D,sun15,0.470756858587265,0.203125,0.3012295663356781,0.2976126968860626,0.2705047130584717,0.26474350690841675,0.12835894525051117
1000,0,LOS,sun15,0.3795861303806305,0.16796875,0.2364635318517685,0.24443264305591583,0.2175750732421875,0.19523899257183075,0.1107589602470398
1000,0,LOS+Sun,sun15,0.3913981318473816,0.17578125,0.26381614804267883,0.23566697537899017,0.22341704368591309,0.2013479769229889,0.11993876844644547
1000,0,LOS+rho,sun15,0.4354459345340729,0.060546875,0.3136812448501587,0.24623993039131165,0.31591930985450745,0.19360153377056122,0.08314982056617737
1000,0,LOS+Sun+rho,sun15,0.4218677282333374,0.060546875,0.301104336977005,0.24162167310714722,0.31076082587242126,0.1858397275209427,0.07483649998903275
1000,0,3D,gc15,0.38300275802612305,0.083984375,0.18482570350170135,0.3026127815246582,0.1711975336074829,0.24584850668907166,0.15575189888477325
1000,0,LOS,gc15,0.2819005250930786,0.056640625,0.12927082180976868,0.22948704659938812,0.12278870493173599,0.16440430283546448,0.12450756132602692
1000,0,LOS+Sun,gc15,0.2935316264629364,0.060546875,0.15673814713954926,0.22273768484592438,0.1258426010608673,0.1692773848772049,0.1355559378862381
1000,0,LOS+rho,gc15,0.2516564130783081,0.041015625,0.13195697963237762,0.19076532125473022,0.14116911590099335,0.12809458374977112,0.10676661133766174
1000,0,LOS+Sun+rho,gc15,0.2407677173614502,0.0390625,0.12406953424215317,0.18522842228412628,0.1402377039194107,0.1214340403676033,0.09729264676570892
